Period '120111'  '120112'  '120121'  '120122'  '120411'  '120412'  '120521'  '120522'  '120611'  '120612'  '120621'  '120622'  '120711'  '120712'  '120721'  '120722'  '120811'  '120812'  '120821'  '120822'  '120911'  '120912'  '120921'  '120922'  '121011'  '121012'  '121021'  '121022'  '121111'  '121112'  '121211'  '121212'  '121221'  '121222'  '121321'  '121322'  '121411'  '121412'  '121421'  '121422'  '121511'  '121512'  '121711'  '121712'
0.45  0.632339  1.131260  0.812154  0.881254  1.093190  0.846457  0.372106  1.236278  0.875139  0.795927  0.794862  0.763331  2.299599  1.570465  0.594682  0.637105  0.526906  0.563868  0.334745  0.255310  0.404374  0.385532  0.743048  1.590538  1.281286  0.992395  1.036519  0.446737  0.620286  0.725766  0.578416  0.552848  1.725598  1.002782  0.580709  1.727287  0.187161  0.348219  1.325015  0.795393  0.639537  0.643101  0.937791  1.312360
0.46  0.646788  1.169138  0.850321  0.906116  1.067083  0.860360  0.403651  1.303080  0.887729  0.795796  0.765967  0.754916  2.331655  1.546681  0.610179  0.657766  0.522845  0.557674  0.326992  0.250957  0.443342  0.407827  0.762121  1.563077  1.154583  0.918159  1.070937  0.480892  0.572820  0.743320  0.596158  0.560762  1.736284  0.987985  0.608753  1.660786  0.183139  0.374282  1.318107  0.797791  0.568478  0.554433  0.947871  1.323160
0.47  0.642297  1.203111  0.878177  0.886575  1.024115  0.867091  0.428211  1.394879  0.902811  0.821238  0.716896  0.789995  2.325761  1.485360  0.613696  0.658756  0.504191  0.542393  0.308494  0.247693  0.476884  0.423611  0.797624  1.464494  1.021567  0.879081  1.078772  0.519536  0.549048  0.735212  0.584504  0.561023  1.669698  0.928328  0.627202  1.604044  0.188721  0.393860  1.321273  0.830413  0.604741  0.586085  0.932462  1.326905
0.48  0.634617  1.308414  0.849073  0.911854  0.966552  0.859165  0.443383  1.456223  0.916057  0.812582  0.653226  0.786345  2.285018  1.387329  0.637764  0.656228  0.474318  0.513208  0.297340  0.244428  0.506183  0.435154  0.838069  1.322365  0.907600  0.858073  1.057117  0.558180  0.531809  0.721437  0.562501  0.549195  1.541694  0.858806  0.639338  1.544923  0.185191  0.406091  1.322232  0.860156  0.633249  0.607466  0.922526  1.349226
0.49  0.699960  1.387749  0.810324  0.930231  0.985237  0.842808  0.447859  1.517240  0.914352  0.791599  0.582459  0.772557  2.210564  1.263445  0.692715  0.655898  0.439972  0.472804  0.292851  0.241300  0.532227  0.437916  0.863576  1.253196  0.888878  0.906621  1.007294  0.591894  0.517482  0.703647  0.547804  0.524062  1.383978  0.783295  0.645406  1.478587  0.184863  0.409169  1.292873  0.869463  0.636812  0.610820  0.974657  1.434912
0.50  0.816392  1.447235  0.829616  0.942205  1.009834  0.824438  0.445676  1.561448  0.890221  0.815074  0.540080  0.793645  2.098572  1.121879  0.708212  0.653480  0.454220  0.461172  0.291083  0.239123  0.540909  0.436338  0.860129  1.278474  0.876251  0.931003  0.936344  0.616982  0.498984  0.751979  0.544499  0.497537  1.237771  0.714713  0.647702  1.429880  0.190937  0.406255  1.248834  0.856222  0.634087  0.624655  1.050550  1.482147
0.51  0.926446  1.491360  0.848658  0.948108  1.012540  0.804684  0.447968  1.549004  0.844582  0.820976  0.525075  0.801452  1.946769  0.981864  0.689418  0.643919  0.487809  0.495932  0.291627  0.238171  0.527492  0.432589  0.823936  1.310531  0.851106  0.928391  0.850341  0.630714  0.478675  0.761661  0.558936  0.478752  1.126677  0.664215  0.641060  1.364692  0.193893  0.392177  1.217459  0.833099  0.629476  0.685443  1.083384  1.452481
0.52  0.993351  1.538285  0.868614  0.947610  1.002977  0.784427  0.441310  1.485586  0.790025  0.786878  0.503885  0.807433  1.771698  0.913821  0.663371  0.639852  0.512727  0.513139  0.295572  0.238307  0.497009  0.408518  0.791420  1.429680  0.816927  0.908689  0.757209  0.631682  0.458287  0.731591  0.589809  0.462664  1.051635  0.653646  0.635402  1.291468  0.187613  0.374980  1.193761  0.816693  0.622978  0.714370  1.058759  1.351818
0.53  1.009036  1.556833  0.889070  0.940791  0.987942  0.757250  0.447204  1.404375  0.738616  0.758025  0.478945  0.792428  1.593008  0.868528  0.618971  0.683703  0.530416  0.514723  0.302101  0.238579  0.499672  0.376259  0.867712  1.515050  0.838589  0.883980  0.722086  0.620151  0.439632  0.668382  0.622422  0.440835  0.998202  0.668678  0.618838  1.234397  0.198572  0.366155  1.164785  0.812759  0.655678  0.714160  1.003171  1.299687
0.54  0.983979  1.543687  0.909110  0.927736  1.002411  0.755803  0.451679  1.290528  0.695731  0.756452  0.451976  0.759782  1.424039  0.824786  0.591825  0.720081  0.542118  0.505499  0.306453  0.238579  0.500067  0.344986  0.884602  1.547336  0.901396  0.863951  0.693213  0.611700  0.424125  0.633432  0.642076  0.412310  0.948409  0.676429  0.607687  1.169783  0.219299  0.353801  1.126886  0.822929  0.670770  0.692989  0.933038  1.299255
